16,8537,1000
123,11051,20000
53,27202,1000
83,38785,20000
135,57494,30
91,42131,500
110,49595,20000
31,15215,600
25,2258,700
66,32026,30
60,29802,500
3,1226,20000
53,27005,30
138,59953,800
142,42946,1000
80,15331,30
111,30021,1000
141,54650,30
131,57485,30
7,3848,600
12,6110,700
2,477,20000
56,28209,700
47,23469,30
150,46389,700
63,31299,160
66,32285,30
142,61339,1000
37,19217,1
121,47187,20000
115,50876,1000
60,4282,30
57,28986,1
117,52241,30
139,32953,800
23,12052,30
54,27742,30
49,25374,30
28,11374,30
139,59968,1000
66,32298,20000
69,24073,20000
36,18752,20000
81,15678,600
31,16032,1000
145,62552,400
50,20740,20000
40,9166,20000
92,42381,30
74,5244,20000
122,8553,20000
70,33783,30
34,17650,600
105,47656,600
40,20625,30
140,42520,30
36,11510,20000
31,14351,30
48,24161,1000
47,24002,20000
129,15099,20000
40,19664,30
82,16462,1000
72,34719,20000
34,17790,20000
20,10328,900
102,46744,1000
47,24166,30
86,40112,300
13,6185,20000
139,59749,900
62,30660,30
17,8067,600
119,52862,1000
91,42188,20000
129,56411,20000
139,10514,20000
146,62854,1
21,10997,500
140,59542,20000
16,8516,30
1,82,300
27,13716,1
35,18005,200
91,42017,700
123,33623,30
42,21870,1
73,34932,30
21,10591,30
97,44070,30
113,50484,900
134,58504,20000
127,55963,1000
114,50957,800
17,8869,900
107,2579,1000
77,36642,20000
6,2523,20000
12,5987,1000
111,49190,20000
91,21133,1000
144,44029,30
146,62727,1000
36,18751,400
116,51836,100
72,34662,300
26,13335,30
95,43654,1000
82,38679,1000
37,19184,200
61,30491,20000
104,27512,30
131,56219,30
38,19650,1000
113,50556,1000
53,27361,1000
82,38721,1000
7,3476,1000
133,21330,20000
69,33666,600
60,3976,30
92,42445,30
24,12424,1000
33,16985,30
79,37591,30
77,36768,30
103,46991,1000
51,26309,1000
32,16440,600
103,55,1
120,33679,1000
33,14218,20000
128,56337,5000
97,26135,1000
105,47837,1000
32,16422,500
83,38847,20000
49,25320,1000
128,56461,1
27,13718,4000
130,37816,20000
85,28735,20000
121,53808,600
116,50852,30
76,36411,900
75,35897,900
130,57301,1
34,4943,20000
77,36658,1000
105,47483,30
150,64328,4000
5,2323,30
39,20150,2000
60,29381,30
77,14041,1000
53,27204,30
5,2560,30
45,23291,30
3,1393,20000
113,50491,900
3,1511,900
29,14690,1000
68,8898,30
66,32394,1000
85,39887,20000
99,44843,1000
51,26442,1000
48,24439,1000
82,15980,1000
12,6163,20000
84,39321,30
34,17410,400
122,54222,2000
112,30607,1000
41,21216,500
40,20405,30
102,45062,20000
11,5621,1
123,54587,1000
39,20070,30
53,27188,20000
3,1208,1000
57,2796,20000
123,53895,30
36,18518,1
4,1823,30
72,34693,1
135,58750,1000
129,15104,1000
135,57345,1000
99,45229,3000
28,7832,20000
29,14829,1
105,47837,1000
114,51128,1000
27,13877,1000
65,32023,1000
51,26181,900
44,22781,20000
42,21505,80
43,22054,1000
55,28046,20000
98,44885,20000
19,9975,30
72,34495,1000
126,55278,20000
20,10198,1000
118,33268,1000
128,56258,700
148,63410,1000
150,64349,30
16,8338,1000
16,8306,30
132,53580,20000
139,60217,20000
140,15268,20000
49,12602,20000
118,52470,30
136,59180,1000
86,13843,30
54,27676,20000
150,64387,1000
109,13398,900
119,52636,20000
131,57683,20000
34,17656,20000
131,8429,20000
132,57901,1000
19,9846,30
56,28248,2000
138,60045,30
99,45467,20000
133,58364,20000
84,39320,1000
136,59341,900
82,16110,7000
56,28120,30
134,58749,2000
65,31822,1000
44,22758,1000
144,62181,20000
8,3946,20000
94,41576,20000
57,28633,1000
122,54039,20000
90,41685,800
7,3645,1000
21,10992,700
40,20749,1000
99,44953,20000
65,32118,1000
18,5346,20000
117,52142,30
6,2995,1000
50,25466,1000
21,10717,20000
124,54978,20000
45,23301,2000
40,11149,20000
105,47615,600
139,60273,30
75,12851,20000
95,11374,30
116,50920,30
9,4427,800
35,18105,1000
147,63266,30
140,20751,20000
2,605,20000
30,15534,1000
59,3117,30
74,12296,1000
131,57326,30
131,57541,3000
97,44468,20000
145,62550,1000
25,13010,2000
40,20761,30
50,25890,1000
34,17533,30
41,21245,20000
106,48111,2000
134,58628,30
128,36237,20000
6,2821,30
39,19898,700
147,63257,600
127,55844,1
147,63261,1000
148,63768,1000
147,63063,30
139,41871,20000
44,22848,30
72,34609,30
69,33349,900
59,3840,1000
84,39358,20000
72,10256,20000
102,46567,1000
27,13791,800
70,34064,60
108,48862,1000
39,20012,1000
96,43373,20000
69,33259,20000
27,14046,1000
140,60544,1000
33,16756,1000
56,2086,2000
8,4239,30
38,19494,1000
44,22879,500
64,31376,30
26,13478,30
59,29650,20
31,16246,20000
74,35426,30
144,62111,30
66,28243,20000
135,59069,1000
105,37504,20000
115,51241,1
95,43645,160
140,42033,900
34,17268,1000
68,8855,30
28,14375,1000
85,10588,20000
30,15267,2000
19,9792,1000
53,26060,20000
104,27560,1000
116,8092,30
43,22054,1000
67,32896,30
108,29012,30
146,62796,1
31,15844,30
66,32291,1
10,5306,30
73,35297,1000
147,45180,900
132,38853,500
58,29078,1
43,18599,500
107,48631,1000
43,22254,1000
134,39624,1000
114,31480,1000
111,49832,1000
109,45468,30
118,52377,20000
140,60433,20000
139,60176,1000
87,40433,30
148,63667,1000
56,28442,700
134,39813,900
6,3105,20000
85,17819,1000
3,883,30
16,8174,30
32,16059,600
109,49040,30
77,13858,20000
119,33216,20000
1,18,1000
72,11162,1000
24,5264,20000
27,13991,30
89,41537,800
143,61481,20000
68,33217,20000
12,5708,900
17,8864,600
138,17523,20000
70,28827,30
39,20174,1000
88,40820,20000
20,10195,20000
148,63537,20000
25,12992,20000
133,39113,1000
14,7291,1
6,3090,3000
88,41180,20000
10,5183,1
58,29210,1000
103,46889,1000
141,61011,20000
26,8782,20000
2,959,700
13,6722,30
54,445,600
120,28286,30
112,27209,1
106,28048,30
25,12780,1000
63,4361,1000
117,52098,30
15,7815,1000
52,26174,1000
102,46722,1
145,44567,1
139,41818,1000
61,30362,1000
7,2373,700
80,15391,20000
90,41769,20000
85,39657,1000
40,19302,20000
117,51733,1000
135,58945,20000
15,7941,80
35,18059,30
55,27418,600
22,11663,30
51,26201,20000
108,26457,20000
18,8173,700
29,13068,20000
38,19783,1000
24,4725,800
57,17318,20000
115,51418,900
95,43651,20000
139,60117,20000
108,10830,20000
13,6475,30
105,47712,1000
53,26872,20000
148,63422,1000
103,26903,3000
101,46022,900
97,44387,1
3,659,1000
88,40124,20000
123,54285,20000
35,17925,20000
66,32368,30
11,5445,20000
55,27918,800
131,57463,30
80,37932,20000
43,22113,1000
78,36920,30
131,57440,20000
130,56913,20000
54,27762,30
121,53595,1000
79,37220,30
118,52708,170
35,17276,1000
117,52319,20000
93,43094,70
94,43226,30
3,1570,1000
12,6318,1000
69,33301,20000
44,22339,1000
95,43860,4000
78,37091,1000
149,63958,1
110,49508,1
137,59607,30
104,47429,30
37,18704,600
141,60938,700
44,22477,30
140,60715,1000
46,23525,1
106,47990,20000
54,27545,1000
80,37842,20000
136,59409,1000
62,30394,2000
114,50818,160
15,7978,30
128,56360,30
19,9827,1000
106,47890,2000
49,11718,20000
29,14794,30
84,39518,1000
12,3254,30
23,11689,1
144,61319,1000
121,50610,20000
9,4455,1000
98,44937,1000
89,41440,30
34,17480,30
136,38824,20000
138,38892,1000
72,34478,20000
99,25418,400
117,52008,1000
2,641,30
100,45750,20000
2,25,20000
68,13216,20000
44,22473,2000
117,52289,1000
14,6829,1000
64,31709,600
119,19402,1000
104,47106,30
85,39815,20000
5,2496,30
20,10621,20000
16,7171,1000
43,21471,600
72,34648,20000
63,31332,2000
141,60889,500
133,58172,1000
19,10162,20000
92,42538,30
1,182,1
102,46691,20000
26,13307,20000
145,62483,400
149,63976,20000
136,58810,20000
106,13328,20000
96,44296,30
84,38213,30
41,21399,30
8,3986,1000
61,30113,1000
7,3728,800
59,29446,30
134,58475,400
109,48983,1000
19,9840,20000
19,10141,300
117,52245,30
149,64186,30
29,15073,30
104,27344,30
26,13387,1000
11,5877,500
103,46786,1000
11,3473,30
144,54180,700
83,15958,20000
141,18711,1000
30,15474,1000
54,27523,900
119,53041,900
14,7014,30
128,16564,20000
14,7012,2000
68,33125,1000
87,40451,700
80,37981,30
90,41939,20000
112,50255,30
56,2068,1000
139,19555,20000
99,44798,20000
108,48788,30
35,18226,500
67,32772,1000
148,45556,1000
146,63001,20000
10,1607,20000
57,28974,30
145,62440,30
23,4445,20000
125,55266,1000
45,23105,600
67,32907,600
101,46192,800
116,7444,20000
22,11466,200
53,27291,30
136,59419,600
139,60143,1000
135,58943,1000
135,40486,30
70,28827,30
127,56036,30
73,35161,600
14,7195,1000
104,26849,900
25,12644,20000
137,59591,1000
114,49807,20000
114,51128,1000
56,28528,30
92,42369,1000
57,28637,30
79,37222,1000
108,48673,30
31,15954,20000
30,14383,20000
8,4011,900
49,25378,30
145,62475,20000
133,58340,30
86,40370,1000
127,56002,1000
45,23125,800
5,2731,20000
45,23039,2000
8,4257,500
22,11643,600
111,49914,700
105,47563,500
52,26509,20000
12,5968,1000
115,51444,1000
107,48326,1
21,10732,1000
53,27117,30
59,29421,1000
32,16763,20000
122,54024,700
32,16430,900
97,44584,30
64,31640,300
131,48640,20000
41,20334,30
143,61734,1000
86,40321,2000
115,51246,20000
134,58693,30
109,49030,30
135,59002,1000
56,28195,80
85,38608,30
141,61122,1000
33,16952,30
28,14469,300
104,24953,20000
11,5229,30
122,34767,30
16,8347,1000
25,12719,800
30,15393,20000
140,42372,30
63,31057,30
121,53579,1000
122,54183,800
99,6436,20000
119,53067,1000
13,6711,30
65,31854,1000
